Potato
Onion
Tomato
Brinjal (eggplant)
Lady's finger (okra)
Cauliflower
Cabbage
Carrot
Radish
Beetroot
Turnip
Sweet potato
Pumpkin
Bottle gourd (lauki/dudhi)
Ridge gourd (torai)
Bitter gourd (karela)
Pointed gourd (parwal)
Snake gourd (chichinda)
Drumstick (saiganj)
Green peas (matar)
Beans (sem)
Bell pepper (capsicum)
Spinach (palak)
Fenugreek leaves (methi)
Amaranth leaves (chaulai
