Mango
Banana
Apple
Orange
Guava
Pineapple
Pomegranate
Watermelon
Musk melon
Papaya
Grapes
Kiwi
Pear
Peach
Plum
Apricot
Cherry
Coconut
Jackfruit
Custard apple (sitaphal)
Avocado
Potato
Onion
Tomato
Brinjal (eggplant)
Lady's finger (okra)
Cauliflower
Cabbage
Carrot
Radish
Beetroot
Turnip
Sweet potato
Pumpkin
Bottle gourd (lauki/dudhi)
Ridge gourd (torai)
Bitter gourd (karela)
Pointed gourd (parwal)
Snake gourd (chichinda)
Drumstick (saiganj)
Green peas (matar)
Beans (sem)
Bell pepper (capsicum)
Spinach (palak)
Fenugreek leaves (methi)
Amaranth leaves (chaulai
Chhena
Dahi
Ghee
Buttermilk
Paneer
